🤭	face with hand over mouth, whoops
🥵	feverish, flushed, heat stroke, hot, hot face, red-faced, sweating
😱	Munch, face, face screaming in fear, fear, scared, scream
😈	devil, face, fantasy, horns, smile
🖖	Vulcan salute, finger, hand, spock, vulcan
🖖🏻	Vulcan salute, Vulcan salute: light skin tone, finger, hand, light skin tone, spock, vulcan
🖖🏼	Vulcan salute, Vulcan salute: medium-light skin tone, finger, hand, medium-light skin tone, spock, vulcan
🖖🏽	Vulcan salute, Vulcan salute: medium skin tone, finger, hand, medium skin tone, spock, vulcan
🖖🏾	Vulcan salute, Vulcan salute: medium-dark skin tone, finger, hand, medium-dark skin tone, spock, vulcan
🖖🏿	Vulcan salute, Vulcan salute: dark skin tone, dark skin tone, finger, hand, spock, vulcan
✌🏻	hand, light skin tone, v, victory
✌🏼	hand, medium-light skin tone, v, victory
✌🏽	hand, medium skin tone, v, victory
✌🏾	hand, medium-dark skin tone, v, victory
✌🏿	dark skin tone, hand, v, victory
🤘🏻	finger, hand, horns, light skin tone, rock-on, sign of the horns
🤘🏼	finger, hand, horns, medium-light skin tone, rock-on, sign of the horns
🤘🏽	finger, hand, horns, medium skin tone, rock-on, sign of the horns
🤘🏾	finger, hand, horns, medium-dark skin tone, rock-on, sign of the horns
🤘🏿	dark skin tone, finger, hand, horns, rock-on, sign of the horns
🤙🏻	call, call me hand, call me hand: light skin tone, hand, light skin tone
🤙🏼	call, call me hand, call me hand: medium-light skin tone, hand, medium-light skin tone
🤙🏽	call, call me hand, call me hand: medium skin tone, hand, medium skin tone
🤙🏾	call, call me hand, call me hand: medium-dark skin tone, hand, medium-dark skin tone
🤙🏿	call, call me hand, call me hand: dark skin tone, dark skin tone, hand
🙌🏻	celebration, gesture, hand, hooray, light skin tone, raised, raising hands
🙌🏼	celebration, gesture, hand, hooray, medium-light skin tone, raised, raising hands
🙌🏽	celebration, gesture, hand, hooray, medium skin tone, raised, raising hands
🙌🏾	celebration, gesture, hand, hooray, medium-dark skin tone, raised, raising hands
🙌🏿	celebration, dark skin tone, gesture, hand, hooray, raised, raising hands
🧒🏻	child, gender-neutral, light skin tone, unspecified gender, young
🧒🏼	child, gender-neutral, medium-light skin tone, unspecified gender, young
🧒🏽	child, gender-neutral, medium skin tone, unspecified gender, young
🧒🏾	child, gender-neutral, medium-dark skin tone, unspecified gender, young
🧒🏿	child, dark skin tone, gender-neutral, unspecified gender, young
👦	boy, young, young person
👦🏻	boy, light skin tone, young, young person
👦🏼	boy, medium-light skin tone, young, young person
👦🏽	boy, medium skin tone, young, young person
👦🏾	boy, medium-dark skin tone, young, young person
👦🏿	boy, dark skin tone, young, young person
👧	Virgo, girl, young person, zodiac
