😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
😃	ανοιχτό, πλατύ χαμόγελο με μεγάλα μάτια, πρόσωπο, στόμα, χαμόγελο
😄	ανοιχτό, μάτι, πλατύ χαμόγελο με γελαστά μάτια, πρόσωπο, στόμα, χαμόγελο
😁	μάτι, περιχαρές πρόσωπο με γελαστά μάτια, πρόσωπο, σαρκασμός, χαμόγελο
😆	ανοιχτό, γέλιο, ικανοποίηση, πλατύ χαμόγελο με κλειστά μάτια, πρόσωπο, στόμα, χαμόγελο
😅	ανοιχτό, ιδρώτας, κρύος, πλατύ χαμόγελο και κρύος ιδρώτας, πρόσωπο, χαμόγελο
🤣	γέλιο, δυνατό γέλιο, ξεκάρδισμα, ξεκαρδίζομαι, πρόσωπο
😂	γέλιο, δάκρυ, κλαίω από χαρά, πρόσωπο, χαρά
🙂	ελαφρώς χαμογελαστό πρόσωπο, πρόσωπο, χαμόγελο
🙃	ανάποδο, αναποδογυρισμένο πρόσωπο, πρόσωπο
😉	κλείνω το μάτι, κλείσιμο ματιού, πρόσωπο
😊	κοκκινίζω, μάτι, πρόσωπο, χαμογελαστό πρόσωπο με γελαστά μάτια, χαμόγελο
😇	άγγελος, αθώος, παραμύθι, πρόσωπο, φαντασία, φωτοστέφανο, χαμογελαστό πρόσωπο με φωτοστέφανο, χαμόγελο
🥰	ερωτευμένος, καψούρα, λατρεύω, χαμογελαστό προσωπάκι με 3 καρδούλες
😍	αγάπη, καρδιά, μάτι, πρόσωπο, χαμογελαστό πρόσωπο με μάτια καρδούλες, χαμόγελο
🤩	αστέρι, βλέπω αστεράκια, γκριμάτσα, μάτια, πρόσωπο
😘	καρδιά, πρόσωπο, στέλνω φιλί, φιλί
😗	πρόσωπο, φιλί, φιλώ
☺️	πρόσωπο, σκιαγράφημα, χαλαρό, χαμογελαστό πρόσωπο, χαμόγελο
😚	κλειστό, μάτι, πρόσωπο, φιλί, φιλώ με κλειστά μάτια
😙	μάτι, πρόσωπο, φιλί, φιλώ με γελαστά μάτια, χαμόγελο
😋	απολαμβάνω πεντανόστιμο φαγητό, απόλαυση, γιαμ, μιαμ, νόστιμο, πρόσωπο, χαμόγελο
😛	γλώσσα, γλώσσα έξω, πρόσωπο
😜	αστειεύομαι, γλώσσα, γλώσσα έξω με κλειστό μάτι, κλείνω το μάτι, μάτι, πρόσωπο
🤪	μάτι, μεγάλο, μικρό, τρελή φάτσα
😝	απαίσιος, γεύση, γλώσσα, γλώσσα έξω με κλειστά μάτια, μάτι, πρόσωπο
🤑	γλώσσα με λεφτά, πρόσωπο, στόμα, χρήματα
🤗	αγκαλιά, αγκαλιάζω, πρόσωπο
🤭	πρόσωπο με χέρι στο στόμα, ωχ
🤫	ησυχία, πρόσωπο που κάνει σσσς
🤔	πρόσωπο, σκέφτομαι, σκεπτόμενος
🤐	ερμητικά κλειστό στόμα, πρόσωπο, στόμα, φερμουάρ
🤨	δύσπιστος, πρόσωπο με σηκωμένο φρύδι, σκεπτικός
😐️	ανέκφραστο, ουδέτερο, ουδέτερο πρόσωπο, πρόσωπο
😑	ανέκφραστο, ανέκφραστο πρόσωπο, πρόσωπο, χωρίς έκφραση
😶	ήσυχος, πρόσωπο, πρόσωπο χωρίς στόμα, σιωπηλός, στόμα
😏	μειδίαμα, πρόσωπο
😒	δυσαρέσκεια, δυσαρεστημένος, πρόσωπο
🙄	αναποδογυριστά, βλέμμα αποδοκιμασίας, μάτια, πρόσωπο
😬	γκριμάτσα, πρόσωπο
🤥	πινόκιο, πρόσωπο, φάτσα ψεύτη, ψέμα
😌	ανακουφισμένος, ανακούφιση, πρόσωπο
😔	αποκαρδιωμένος, περισυλλογή, πρόσωπο, στοχαστικός
😪	νυσταγμένο πρόσωπο, πρόσωπο, ύπνος
🤤	πρόσωπο, σάλια, σαλιαρίζω
😴	zzz, πρόσωπο, ύπνος
😷	άρρωστος, γιατρός, ιατρική μάσκα, κρύωμα, μάσκα, πρόσωπο, φάρμακο
🤒	άρρωστος, ασθενής, θερμόμετρο, πρόσωπο, πρόσωπο με θερμόμετρο
🤕	επίδεσμος, επίδεσμος στο κεφάλι, πρόσωπο, τραύμα, χτυπημένος
🤢	ανακατεύομαι, εμετός, ναυτία, πρόσωπο
🤮	εμετός, πρόσωπο που κάνει εμετό
🤧	πρόσωπο, υγεία, φτάρνισμα, φταρνίζομαι
🥵	ζεστό προσωπάκι, θερμοπληξία, πυρετός
🥶	κρυοπάγημα, κρυώνω, κρύο, παγώνω
🥴	ζαλισμένο προσωπάκι, ζαλισμένος, μεθυσμένος, πιωμένος, ψιλομεθυσμένος
😵	ζαλάδα, ζαλισμένος, πρόσωπο
🤯	κεφάλι που εκρήγνυται, σοκαρισμένος
🤠	καουμπόης, καουμπόης με καπέλο, καουμπόισσα, καπέλο, πρόσωπο
🥳	γιορτή, καπέλο, κόρνα, πάρτι, προσωπάκι πάρτι
😎	ήλιος, γυαλιά, γυαλιά ηλίου, καιρός, μάτι, οπτικά, πρόσωπο, στυλάτος, φωτεινός, χαμογελαστό πρόσωπο με γυαλιά ηλίου, χαμόγελο
🤓	πρόσωπο, σπασίκλας, φυτό
🧐	ξενέρωτος, πρόσωπο με μονόκλ
😕	πρόσωπο, στοχαστικός, σύγχυση
😟	ανήσυχος, ανησυχία, πρόσωπο
🙁	ελαφρύ κατσούφιασμα, κατσουφιασμένος, πρόσωπο
☹️	κατσουφιασμένος, κατσούφιασμα, πρόσωπο
😮	ανοικτό στόμα, ανοιχτό, πρόσωπο, στόμα, συμπόνια
😯	άφωνος, έκπληκτο βλέμμα, έκπληκτος, πρόσωπο, συγκλονισμένος
😲	έκπληκτος, εντελώς, ξάφνιασμα, ξαφνιασμένος, πρόσωπο
😳	κοκκινισμένο πρόσωπο, κοκκινισμένος, πρόσωπο, σαστισμένος
🥺	έλεος, βλέμμα κουταβιού, ζητιανιά, προσωπάκι παρακαλετό
😦	ανοιχτό, κατσούφιασμα, κατσούφιασμα με ανοικτό στόμα, πρόσωπο, στόμα
😧	αγωνία, αγωνιώδης, πρόσωπο
😨	πρόσωπο, τρομαγμένος, φοβισμένος, φόβος
😰	ανοικτό στόμα και κρύος ιδρώτας, ανοιχτό, ιδρώτας, κρύος, μπλε, ξαφνικός, πρόσωπο, στόμα
😥	ανακουφισμένος, απογοητευμένο αλλά  ανακουφισμένο πρόσωπο, απογοητευμένος, πρόσωπο, φιου
😢	δάκρυ, κλάμα, πρόσωπο, στεναχωρημένος
😭	γοερό κλάμα, δάκρυ, κλάμα, λυγμός, πρόσωπο, στεναχωρημένος
😱	ανοιχτό στόμα, ουρλιαχτό, ουρλιαχτό φόβου, πρόσωπο, τρομαγμένος, φοβισμένος, φόβος
😖	πρόσωπο, σάστισμα, σαστισμένος
😣	βλέμμα απόγνωσης, επιμένω, πρόσωπο
😞	απογοήτευση, απογοητευμένος, πρόσωπο
😓	ιδρώτας, κρύος, κρύος ιδρώτας, πρόσωπο
😩	εξάντληση, εξαντλημένος, κουρασμένος, πρόσωπο
😫	κουρασμένο πρόσωπο, κουρασμένος, πρόσωπο
🥱	βαριέμαι, κουρασμένος, πρόσωπο που χασμουριέται, χασμουριέμαι
😤	θρίαμβος, καπνοί από τη μύτη, καπνοί από τη μύτη, νικητής, πρόσωπο
😡	θυμωμένος, κόκκινος, μορφασμός, οργή, οργισμένος, πρόσωπο
😠	θυμωμένος, θυμός, οργισμένος, πρόσωπο
🤬	βρίσιμο, πρόσωπο με σύμβολα στο στόμα
😈	κέρατα, παραμύθι, πρόσωπο, φαντασία, χαμόγελο, χαμόγελο με κέρατα
👿	δαίμονας, διάβολος, παραμύθι, πρόσωπο, φαντασία
💀	θάνατος, κρανίο, παραμύθι, πρόσωπο, σώμα, τέρας
☠️	θάνατος, κρανίο με κόκκαλα, νεκροκεφαλή, οστά χιαστί, πρόσωπο, σώμα, τέρας
💩	κακά, κοπριά, κόμικ, κόπρανα, περιττώματα, πρόσωπο, τέρας
🤡	αστεία φάτσα, κλόουν, πρόσωπο
👹	ιαπωνικό, παραμύθι, πλάσμα, πρόσωπο, τέρας, φαντασία
👺	ιαπωνικό, καλικάντζαρος, παραμύθι, πλάσμα, πρόσωπο, τέρας, φαντασία
👻	παραμύθι, πλάσμα, πρόσωπο, τέρας, φάντασμα, φαντασία
👽️	διάστημα, εξωγήινος, ούφο, παραμύθι, πλάσμα, πρόσωπο, τέρας, φαντασία
👾	διάστημα, εξωγήινο τέρας, εξωγήινος, ούφο, παραμύθι, πλάσμα, πρόσωπο, τέρας, φαντασία
🤖	πρόσωπο, ρομπότ, τέρας
😺	ανοιχτό, γάτα, γάτα με πλατύ χαμόγελο, πρόσωπο, στόμα, χαμόγελο
😸	γάτα, γάτα με πλατύ χαμόγελο και γελαστά μάτια, μάτι, πλατύ χαμόγελο, πρόσωπο, χαμόγελο
😹	γάτα, γάτα που κλαίει από χαρά, δάκρυ, πρόσωπο, χαρά
😻	αγάπη, γάτα, γάτα που χαμογελάει με μάτια καρδούλες, καρδιά, μάτι, πρόσωπο, χαμόγελο
😼	γάτα, γάτα που χαμογελάει ειρωνικά, ειρωνικός, καυστικός, πρόσωπο, χαμόγελο
😽	γάτα, γάτα που φιλάει με κλειστά μάτια, μάτι, πρόσωπο, φιλί
🙀	έκπληκτη γάτα, έκπληκτος, γάτα, κουρασμένος, πρόσωπο
😿	γάτα, γάτα που κλαίει, δάκρυ, θλιμμένος, κλαίω, πρόσωπο
😾	γάτα, κατσουφιασμένη γάτα, πρόσωπο
🙈	απαγορευμένος, απαγορεύεται, βλέπω, δεν, διαβολικός, κάνω πως δεν βλέπω, κίνηση, μαϊμού, πρόσωπο, όχι
🙉	ακούω, απαγορευμένος, απαγορεύεται, δεν, διαβολικός, κάνω πως δεν ακούω, κίνηση, μαϊμού, πρόσωπο, όχι
🙊	απαγορευμένος, απαγορεύεται, δεν, διαβολικός, κάνω πως δεν μιλώ, κίνηση, μαϊμού, μιλάω, πρόσωπο, όχι
💋	έρωτας, καρδιά, σημάδι, σημάδι από φιλί, φιλί, χείλη
💌	έρωτας, αγάπη, γράμμα, ερωτικό γράμμα, καρδιά
💘	έρωτας, βέλος, καρδιά, καρδιά με βέλος, ρομάντζο
💝	βαλεντίνος, καρδιά, καρδιά με κορδέλα, κορδέλα
💖	αστράφτω, ενθουσιασμένος, καρδιά, καρδιά που αστράφτει
💗	αυξανόμενος, ενθουσιασμένος, καρδιά, καρδιά που μεγαλώνει, νευρικός, παλμός καρδιάς
💓	καρδιά, καρδιά που χτυπά, καρδιοχτύπι, πάλλεται, χτυπά
💞	καρδιά, καρδιές που γυρίζουν, περιστρεφόμενη
💕	αγάπη, δύο καρδιές, καρδιά
💟	καρδιά, καρδιά σε πλαίσιο
❣️	θαυμαστικό, καρδιά, καρδιά θαυμαστικό, σημείο, στίξη
💔	καρδιά, ραγισμένη καρδιά, σπάω, σπασμένος
❤️	καρδιά, κόκκινη καρδιά
🧡	πορτοκαλί καρδιά, ποστοκάλι
💛	κίτρινη, κίτρινη καρδιά, καρδιά
💚	καρδιά, πράσινη, πράσινη καρδιά
💙	καρδιά, μπλε, μπλε καρδιά
💜	καρδιά, μoβ καρδιά, μωβ
🤎	καρδιά, καφέ, καφέ καρδιά
🖤	κακός, καρδιά, μαγεμένος, μαύρη καρδιά, μαύρο
🤍	καρδιά, λευκή καρδιά, λευκό
💯	100, βαθμολογία, εκατό, εκατό πόντοι, πλήρες
💢	θυμωμένος, κόμικ, οργισμένος, σύμβολο θυμού
💥	κόμικ, σύγκρουση
💫	αστέρι, αστεράκια, ζαλάδα, κόμικ
💦	ιδρώτας, κόμικ, πιτσιλιές, σταγόνες ιδρώτα
💨	κόμικ, ορμή, τρέξιμο
🕳️	μαύρη, τρύπα
💣️	βόμβα, κόμικ
