😀	gáire, meangadh, straoiseog ghealgháireach
😃	béal ar oscailt, meangadh gáire, straoiseog ag gáire le súile móra
😄	béal ar oscailt, meangadh gáire, straoiseog ag gáire le bhéal oscailte agus súile ag déanamh miongháire, straoiseog ag gáire le súile ag déanamh miongháire, straoiseog ag gáire le súile le miongháire, súile ag gáire
😁	gáire, meangadh, straoiseag gáire le súile ag déanamh miongháire, straoiseog gháire le súile & miongháire, straoiseog gháire le súile ag déanamh miongháire, súile ag gáire
😆	béal ar oscailt, meangadh gáire, straoiseog ag gáire le súile dúnta, súile dúnta go dlúth
😅	béal ar oscailt, fuarallas, meangadh gáire, straoiseog ag gáire le fuarallas
🤣	aghaidh, gáire, sna trithí gáire, sna tríthí, urlár
😂	deora áthais, straoiseog le deora áthais
🙂	aghaidh, miongháire, straoiseog ag miongháire de bheagán
🙃	aghaidh, bonn os cionn, straoiseog bun os cionn
😉	aghaidh, caochadh, straoiseog ag caochadh
😊	meangadh gáire, straoiseog ag gáire le súile ag déanamh miongháire, straoiseog aoibhiúil le súile ag déanamh miongháire, straoiseog aoibhiúil le súile le miongháire, súile ag gáire
😇	fáinne solais, meangadh gáire, straoiseog ag gáire le luan
🥰	croíthe, grá, miongháire, splanctha, straoiseog ag miongháire le croíthe, straoiseog le croíthe
😍	meangadh gáire, staoiseog ag gáire le croíthe ina súile, straoiseog ag gáire le croíthe ina shúile, súile i bhfoirm croí
🤩	aghaidh, meangadh, réalta, straoiseog faoi gheasa, súile
😘	aghaidh, póg, straoiseog ag séideadh póige
😗	aghaidh, póg, straoiseog ag pógadh
☺️	straoiseog ag miongháire, éadan, éadan straoiseoige, éadan straoiseoige neamhlíonta
😚	póg, pógadh, straoiseog ag pógadh le súile dúnta, súile dúnta
😙	póg, pógadh, straoiseog ag pógadh le súile ag déanamh miongháire, straoiseog ag pógadh le súile le miongháire, súile ag gáire
😋	aghaidh ag baint taitnimh as bia blasta, bia, blasta, meangadh gáire, straoiseog ag baint taitneamh as bia blasta
😛	aghaidh, straoiseog le teanga amach, teanga
😜	caochadh, straoiseog ag caochadh le teanga amach, straoiseog le teanga amach agus súil á caochadh, teanga ag gobadh amach, teanga churtha amach
🤪	beag, mór, straoiseog chraiceáilte, súil
😝	straoiseog le teanga amach agus súile dúnta, súile dúnta go dlúth, teanga ag gobadh amach, teanga churtha amach
🤑	aghaidh, airgead, béal, straoiseog le hairgead ina béal
🤗	ag beir barróg, aghaidh, barróg, straoiseog ag tabhairt barróige
🤭	aghaidh le lámha ar an mbéal, straoiseog lena lámh ar a béal
🤫	ciúnas, straoiseog chiúin, tost
🤔	ag smaoineamh, aghaidh, straoiseog ag smaoineamh
🤐	aghaidh, béal, sip, straoiseog le béal zipeáilte
🤨	aghaidh, aghaidh le mala ardaithe, amhras, sceipteach, straoiseog le mala ardaithe
😐️	aghaidh neodrach, neodrach, straoiseog neodrach
😑	féachaint fholamh, féachaint folamh, gnúis dhúrúnta, straoiseog le haghaidh fholamh
😶	aghaidh gan bhéal, straoiseog gan bhéal
😏	siotgháire, straoiseog ag déanamh seitgháire
😒	aghaidh mhíshásta, míshásta, straoiseog mhíshásta
🙄	aghaidh, straoiseog le súile ag casadh, suas chun na bhflaitheas, súile
😬	aghaidh, grainc, straoiseog le cár uirthi
🤥	aghaidh, bréaga, pinocchio, straoiseog ag insint bréag
😌	aghaidh, faoiseamh, straoiseog a bhfuil faoiseamh uirthi
😔	machnamhach, smaointeach, straoiseog mhachnamhach
😪	aghaidh, codladh, straoiseog chodlatach
🤤	aghaidh, prislíneacht, straoiseog ag prislíneacht
😴	codladh, ina chodladh, straoiseog ina codladh
😷	aghaidh agus masc uirthi, masc, masc máinliachta, straoiseog le masc leighis, tinn
🤒	aghaidh, aghaidh le teirmiméadar, breoite, straoiseog le teirmiméadar, teirmiméadar, tinn
🤕	aghaidh, aghaidh le bindealán ar a cheann, bindealán, dochar, gortaithe, straoiseog le bindealán ar a ceann
🤢	breoite, fonn múisce, masmas, straoiseog bhreoite, tinn
🤮	aghaidh ag cur amach, straoiseog ag cur amach, tinn, urlacan
🤧	aghaidh, sraoth, straoiseog ag sraotharthach
🥵	ag cur allais, fiabhrasach, straoiseog dhearg, straoiseog the, stróc treasa, te
🥶	coinlíní reo, dó seaca, fuar, préachta, straoiseog fhuar, straoiseog ghrom
🥴	ar meisce, béal corrach, meabhránach, straoiseog trína chéile, súile míchothroma, ólta
😵	aghaidh, meadhránach, straoiseog mheadhránach
🤯	croitheadh bainte, straoiseog lena ceann ag pléasadh
🤠	aghaidh, buachaill bó, cailín, hata, hata buachaill bó, straoiseog le hata buachaill bó
🥳	ceiliúradh, corn, cóisir, hata, straoiseog chóisireachta
😎	meangadh gáire, spéaclaí gréine, straoiseog ag gáire le spéaclaí gréine
🤓	aghaidh, aghaidh saoithíneach, geocach ríomhaire, saoithín, straoiseog shaoithíneach
